Data;Tmax;Tmin;I;Tmean;UR;V
"""1993-11-12""";24.5;19.2;0.1;20.76;92.75;0.866667
"""1993-12-12""";26.5;18.8;3.2;22.24;75.5;0.8
"""1993-12-13""";29.3;19.0;7.6;23.8;64.5;1.633333
"""1993-12-14""";28.9;20.6;9.1;24.2;68.75;2.233333
"""1993-12-15""";30.9;19.8;9.5;24.36;64.75;1.433333
"""1993-12-16""";30.8;22.0;6.2;25.78;66.0;2.3666669999999996
"""1993-12-17""";30.1;21.3;8.3;24.18;80.75;1.7
"""1993-12-18""";28.7;19.3;4.2;23.08;74.0;1.333333
"""1993-12-19""";23.1;19.3;0.3;21.16;89.5;0.9
"""1993-12-20""";26.0;19.0;1.3;21.7;91.75;0.966667
"""1993-12-21""";24.2;18.0;0.1;20.38;77.75;1.533333
"""1993-12-22""";22.0;16.0;0.1;18.06;83.75;2.166667
"""1993-12-23""";18.7;16.2;0.0;17.04;89.0;2.4666669999999997
"""1993-12-24""";20.0;16.2;0.0;18.22;87.5;1.566667
"""1993-12-25""";23.5;17.6;0.0;20.72;73.75;1.5
"""1993-12-26""";26.0;19.0;3.1;22.74;71.5;1.066667
"""1993-12-27""";27.4;19.0;3.8;21.94;86.5;2.2
"""1993-12-28""";28.6;18.5;6.1;22.98;76.25;0.9
"""1993-12-29""";26.2;19.6;2.2;22.58;82.75;1.1
"""1993-12-30""";30.0;19.8;6.5;24.02;75.5;1.1
"""1993-12-31""";24.0;17.4;0.0;20.1;89.75;0.866667
"""1994-01-01""";25.2;17.8;0.8;21.22;83.75;0.43333299999999997
"""1994-02-01""";25.3;19.2;2.0;22.08;88.75;0.333333
"""1994-03-01""";26.0;19.2;0.6;21.38;90.0;1.466667
"""1994-04-01""";22.0;16.5;0.0;19.38;91.25;0.8
"""1994-05-01""";25.0;18.0;2.5;20.48;83.5;1.466667
"""1994-06-01""";27.5;18.2;8.1;22.54;71.25;1.066667
"""1994-07-01""";26.4;20.4;2.7;22.12;81.5;1.433333
"""1994-08-01""";27.8;19.6;4.4;22.24;81.5;1.033333
"""1994-09-01""";26.3;18.0;5.8;22.08;81.0;1.3
"""1994-10-01""";26.1;19.2;1.3;21.28;95.25;1.8666669999999999
"""1994-11-01""";21.4;18.8;0.0;19.8;95.75;1.3
"""1994-12-01""";25.7;18.0;1.5;21.82;77.75;2.1333330000000004
"""1994-01-13""";27.8;17.6;8.3;21.84;79.0;1.466667
"""1994-01-14""";26.3;17.5;1.4;20.96;84.25;1.7
"""1994-01-15""";26.2;17.2;5.5;20.72;88.5;1.7666669999999998
"""1994-01-16""";27.3;17.8;5.1;21.94;81.25;1.5
"""1994-01-17""";31.3;18.4;11.2;24.6;65.5;1.433333
"""1994-01-18""";30.0;21.0;7.3;24.7;68.25;1.8
"""1994-01-19""";31.0;21.0;5.2;24.78;70.0;1.2
"""1994-01-20""";27.8;21.0;3.1;23.26;80.0;1.7666669999999998
"""1994-01-21""";28.3;20.0;4.1;22.28;83.0;1.8
"""1994-01-22""";28.9;19.2;4.8;23.28;80.25;1.266667
"""1994-01-23""";26.0;20.6;0.8;22.5;86.0;1.2
"""1994-01-24""";29.5;20.0;8.7;24.9;68.0;2.433333
"""1994-01-25""";29.8;19.8;6.9;24.22;74.75;2.433333
"""1994-01-26""";30.3;21.0;6.9;25.32;70.25;1.366667
